,sepal.length,sepal.width,petal.length,petal.width,variety
73,6.1,2.8,4.7,1.2,Versicolor
18,5.7,3.8,1.7,0.3,Setosa
118,7.7,2.6,6.9,2.3,Virginica
78,6.0,2.9,4.5,1.5,Versicolor
76,6.8,2.8,4.8,1.4,Versicolor
31,5.4,3.4,1.5,0.4,Setosa
64,5.6,2.9,3.6,1.3,Versicolor
141,6.9,3.1,5.1,2.3,Virginica
68,6.2,2.2,4.5,1.5,Versicolor
82,5.8,2.7,3.9,1.2,Versicolor
110,6.5,3.2,5.1,2.0,Virginica
12,4.8,3.0,1.4,0.1,Setosa
36,5.5,3.5,1.3,0.2,Setosa
9,4.9,3.1,1.5,0.1,Setosa
19,5.1,3.8,1.5,0.3,Setosa
56,6.3,3.3,4.7,1.6,Versicolor
104,6.5,3.0,5.8,2.2,Virginica
69,5.6,2.5,3.9,1.1,Versicolor
55,5.7,2.8,4.5,1.3,Versicolor
132,6.4,2.8,5.6,2.2,Virginica
29,4.7,3.2,1.6,0.2,Setosa
127,6.1,3.0,4.9,1.8,Virginica
26,5.0,3.4,1.6,0.4,Setosa
128,6.4,2.8,5.6,2.1,Virginica
131,7.9,3.8,6.4,2.0,Virginica
145,6.7,3.0,5.2,2.3,Virginica
108,6.7,2.5,5.8,1.8,Virginica
143,6.8,3.2,5.9,2.3,Virginica
45,4.8,3.0,1.4,0.3,Setosa
30,4.8,3.1,1.6,0.2,Setosa
22,4.6,3.6,1.0,0.2,Setosa
15,5.7,4.4,1.5,0.4,Setosa
65,6.7,3.1,4.4,1.4,Versicolor
11,4.8,3.4,1.6,0.2,Setosa
42,4.4,3.2,1.3,0.2,Setosa
146,6.3,2.5,5.0,1.9,Virginica
51,6.4,3.2,4.5,1.5,Versicolor
27,5.2,3.5,1.5,0.2,Setosa
4,5.0,3.6,1.4,0.2,Setosa
32,5.2,4.1,1.5,0.1,Setosa
142,5.8,2.7,5.1,1.9,Virginica
85,6.0,3.4,4.5,1.6,Versicolor
86,6.7,3.1,4.7,1.5,Versicolor
16,5.4,3.9,1.3,0.4,Setosa
10,5.4,3.7,1.5,0.2,Setosa
81,5.5,2.4,3.7,1.0,Versicolor
133,6.3,2.8,5.1,1.5,Virginica
137,6.4,3.1,5.5,1.8,Virginica
75,6.6,3.0,4.4,1.4,Versicolor
109,7.2,3.6,6.1,2.5,Virginica
96,5.7,2.9,4.2,1.3,Versicolor
105,7.6,3.0,6.6,2.1,Virginica
66,5.6,3.0,4.5,1.5,Versicolor
0,5.1,3.5,1.4,0.2,Setosa
122,7.7,2.8,6.7,2.0,Virginica
67,5.8,2.7,4.1,1.0,Versicolor
28,5.2,3.4,1.4,0.2,Setosa
40,5.0,3.5,1.3,0.3,Setosa
44,5.1,3.8,1.9,0.4,Setosa
60,5.0,2.0,3.5,1.0,Versicolor
123,6.3,2.7,4.9,1.8,Virginica
24,4.8,3.4,1.9,0.2,Setosa
25,5.0,3.0,1.6,0.2,Setosa
23,5.1,3.3,1.7,0.5,Setosa
94,5.6,2.7,4.2,1.3,Versicolor
39,5.1,3.4,1.5,0.2,Setosa
95,5.7,3.0,4.2,1.2,Versicolor
117,7.7,3.8,6.7,2.2,Virginica
47,4.6,3.2,1.4,0.2,Setosa
97,6.2,2.9,4.3,1.3,Versicolor
113,5.7,2.5,5.0,2.0,Virginica
33,5.5,4.2,1.4,0.2,Setosa
138,6.0,3.0,4.8,1.8,Virginica
101,5.8,2.7,5.1,1.9,Virginica
62,6.0,2.2,4.0,1.0,Versicolor
84,5.4,3.0,4.5,1.5,Versicolor
148,6.2,3.4,5.4,2.3,Virginica
53,5.5,2.3,4.0,1.3,Versicolor
5,5.4,3.9,1.7,0.4,Setosa
93,5.0,2.3,3.3,1.0,Versicolor
111,6.4,2.7,5.3,1.9,Virginica
49,5.0,3.3,1.4,0.2,Setosa
35,5.0,3.2,1.2,0.2,Setosa
80,5.5,2.4,3.8,1.1,Versicolor
77,6.7,3.0,5.0,1.7,Versicolor
34,4.9,3.1,1.5,0.2,Setosa
114,5.8,2.8,5.1,2.4,Virginica
7,5.0,3.4,1.5,0.2,Setosa
43,5.0,3.5,1.6,0.6,Setosa
70,5.9,3.2,4.8,1.8,Versicolor
