,sepal.length,sepal.width,petal.length,petal.width,variety
98,5.1,2.5,3.0,1.1,Versicolor
120,6.9,3.2,5.7,2.3,Virginica
83,6.0,2.7,5.1,1.6,Versicolor
134,6.1,2.6,5.6,1.4,Virginica
135,7.7,3.0,6.1,2.3,Virginica
89,5.5,2.5,4.0,1.3,Versicolor
8,4.4,2.9,1.4,0.2,Setosa
13,4.3,3.0,1.1,0.1,Setosa
119,6.0,2.2,5.0,1.5,Virginica
125,7.2,3.2,6.0,1.8,Virginica
3,4.6,3.1,1.5,0.2,Setosa
17,5.1,3.5,1.4,0.3,Setosa
38,4.4,3.0,1.3,0.2,Setosa
72,6.3,2.5,4.9,1.5,Versicolor
136,6.3,3.4,5.6,2.4,Virginica
6,4.6,3.4,1.4,0.3,Setosa
112,6.8,3.0,5.5,2.1,Virginica
100,6.3,3.3,6.0,2.5,Virginica
2,4.7,3.2,1.3,0.2,Setosa
63,6.1,2.9,4.7,1.4,Versicolor
54,6.5,2.8,4.6,1.5,Versicolor
126,6.2,2.8,4.8,1.8,Virginica
50,7.0,3.2,4.7,1.4,Versicolor
115,6.4,3.2,5.3,2.3,Virginica
46,5.1,3.8,1.6,0.2,Setosa
139,6.9,3.1,5.4,2.1,Virginica
61,5.9,3.0,4.2,1.5,Versicolor
147,6.5,3.0,5.2,2.0,Virginica
79,5.7,2.6,3.5,1.0,Versicolor
59,5.2,2.7,3.9,1.4,Versicolor
